nombre
Atlanta Hawks
Boston Celtics
Brooklyn Nets
Charlotte Hornets
Chicago Bulls
Cleveland Cavaliers
Dallas Mavericks
Denver Nuggets
Detroit Pistons
Golden State Warriors
Houston Rockets
Indiana Pacers
Los Angeles Clippers
Los Angeles Lakers
Memphis Grizzlies
Miami Heat
Milwaukee Bucks
Minnesota Timberwolves
New Orleans Pelicans
New York Knicks
Oklahoma City Thunder
Orlando Magic
Philadelphia 76ers
Phoenix Suns
Portland Trail Blazers
Sacramento Kings
San Antonio Spurs
Toronto Raptors
Utah Jazz
Washington Wizards
Seattle SuperSonics
New Jersey Nets
Vancouver Grizzlies
Kansas City Kings
Charlotte Bobcats
New Orleans Hornets
St. Louis Hawks
Rochester Royals
Fort Wayne Pistons
Minneapolis Lakers
Buffalo Braves
San Diego Clippers
Baltimore Bullets
Washington Bullets
Syracuse Nationals
Philadelphia Warriors
San Francisco Warriors
Cincinnati Royals
Kansas City-Omaha Kings
New Orleans Jazz
Tri-Cities Blackhawks
Chicago Stags
Cleveland Rebels
Toronto Huskies
Providence Steamrollers
Pittsburgh Ironmen
Sheboygan Red Skins
Anderson Packers
Waterloo Hawks
Indianapolis Olympians
Denver Rockets
Kentucky Colonels
Spirits of St. Louis
