nombre
Lionel Messi
Cristiano Ronaldo
Diego Maradona
Pelé
Neymar Jr
Kylian Mbappé
Erling Haaland
Karim Benzema
Robert Lewandowski
Luka Modrić
Kevin De Bruyne
Toni Kroos
Sergio Busquets
Ronaldinho
Zinedine Zidane
Andrés Iniesta
Xavi Hernández
Gerard Piqué
Sergio Ramos
Marcelo Vieira
Dani Alves
Rúben Dias
Virgil van Dijk
Thiago Silva
Paolo Maldini
Franco Baresi
Javier Zanetti
Ángel Di María
Sadio Mané
Mohamed Salah
Vinícius Jr
Rodrygo Goes
Federico Valverde
Jude Bellingham
Pedri
Gavi
Ansu Fati
Luis Suárez
Edinson Cavani
Gonzalo Higuaín
Raheem Sterling
Harry Kane
Phil Foden
Bruno Fernandes
Casemiro
Paul Pogba
N'Golo Kanté
Jorginho
Marco Verratti
Bernardo Silva
Riyad Mahrez
Hakim Ziyech
João Félix
Mason Mount
Sofyan Amrabat
Héctor Herrera
Rodri
Joshua Kimmich
Thomas Müller
Leon Goretzka
Kingsley Coman
Serge Gnabry
Manuel Neuer
Marc-André ter Stegen
Gianluigi Buffon
Iker Casillas
Alisson Becker
Ederson Moraes
Thibaut Courtois
Emiliano Martínez
Keylor Navas
Kalidou Koulibaly
Achraf Hakimi
João Cancelo
Trent Alexander-Arnold
Andrew Robertson
Theo Hernández
Reece James
David Alaba
Aymeric Laporte
Antonio Rüdiger
Mats Hummels
Raphaël Varane
Diego Godín
Carlos Tevez
Paulo Dybala
Juan Román Riquelme
Fernando Redondo
Juan Sebastián Verón
Arjen Robben
Franck
